feature,importance
gender,10.0264435
Tau_PVC_ENTCTX_baseline,9.042818
apoe_e4,5.0928483
change_std,4.5994573
education,3.736756
change_max,3.614658
age,3.557753
Tau_PVC_ENTCTX_percent_change,3.488542
Tau_PVC_ENTCTX_annual_change,3.4395854
Tau_PVC_INFPAR_baseline,3.1756089
Tau_PVC_MTL_baseline,3.0415206
Tau_PVC_MTL_percent_change,2.9029765
Tau_PVC_PARLOBE_baseline,2.8221602
Tau_PVC_META_TEMPORAL_baseline,2.6667633
Tau_PVC_PRECUNEUS_baseline,2.595328
Tau_PVC_LATPAR_percent_change,2.5696077
Tau_PVC_LTL_annual_change,2.4986494
Tau_PVC_META_TEMPORAL_annual_change,2.4881346
Tau_PVC_PRECUNEUS_percent_change,2.457702
Tau_PVC_LATPAR_baseline,2.3804882
Tau_PVC_PRECUNEUS_annual_change,2.2662985
Tau_PVC_MTL_annual_change,2.1838963
Tau_PVC_META_TEMPORAL_percent_change,2.1589394
Tau_PVC_PARLOBE_annual_change,2.0608182
Tau_PVC_PARLOBE_percent_change,1.9649446
Tau_PVC_INFPAR_percent_change,1.8274441
Tau_PVC_TEMPLOBE_annual_change,1.7641836
Tau_PVC_INFPAR_annual_change,1.5853564
Tau_PVC_LTL_baseline,1.5128423
Tau_PVC_LATPAR_annual_change,1.4407765
change_mean,1.4232408
Tau_PVC_LTL_percent_change,1.3510734
Tau_PVC_TEMPLOBE_percent_change,1.1559097
Tau_PVC_TEMPLOBE_baseline,1.1064775
