feature,importance
Tau_PVC_ENTCTX_baseline,49.780718349228735
gender,30.600050595910634
change_std,10.076012607518802
Tau_PVC_ENTCTX_annual_change,5.8018480790358655
Tau_PVC_MTL_baseline,5.075842545686758
Tau_PVC_META_TEMPORAL_baseline,3.8364641146389635
Tau_PVC_MTL_percent_change,2.8160792858449555
Tau_PVC_MTL_annual_change,2.483624756253085
age,2.2772235282657767
Tau_PVC_ENTCTX_percent_change,2.128906214622871
Tau_PVC_LATPAR_annual_change,1.7803964392876306
Tau_PVC_PRECUNEUS_percent_change,1.7373275256043728
change_max,1.6688172612155814
Tau_PVC_INFPAR_percent_change,1.6324451610968505
Tau_PVC_PARLOBE_percent_change,0.7349262324099276
Tau_PVC_INFPAR_baseline,-0.09097050161799133
Tau_PVC_LTL_percent_change,-0.14450475881305605
Tau_PVC_PARLOBE_annual_change,-0.15688958720457846
Tau_PVC_LATPAR_percent_change,-0.15859775264796822
Tau_PVC_META_TEMPORAL_percent_change,-0.21794329434119855
Tau_PVC_LATPAR_baseline,-0.24671041046082018
Tau_PVC_PRECUNEUS_baseline,-0.46997694203063395
Tau_PVC_TEMPLOBE_annual_change,-0.49828871507919587
Tau_PVC_LTL_baseline,-0.587271807712988
Tau_PVC_TEMPLOBE_baseline,-0.6743806982034135
Tau_PVC_PARLOBE_baseline,-0.8640600179399917
Tau_PVC_INFPAR_annual_change,-1.2101786132252275
change_mean,-1.6167798500275898
education,-1.8239232117495021
Tau_PVC_LTL_annual_change,-2.2688160335502796
Tau_PVC_PRECUNEUS_annual_change,-2.610569876192949
Tau_PVC_META_TEMPORAL_annual_change,-2.6687204567880642
Tau_PVC_TEMPLOBE_percent_change,-2.766767643814422
apoe_e4,-3.355332525220945
